video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0001,2160,145,603.806,50,37.7242,43.6843,40.2001,38.77870000000001,31.4854,36.9419,33.7807,32.454375,38.183059,118.65,76.08
test0001,2160,300,603.806,50,37.7242,43.6843,40.2001,38.77870000000001,31.4854,36.9419,33.7807,32.454375,38.183059,118.65,76.08
test0001,2160,600,603.806,50,37.7242,43.6843,40.2001,38.77870000000001,31.4854,36.9419,33.7807,32.454375,38.183059,118.65,76.08
test0001,2160,900,899.434,47,39.242,44.7681,41.4724,40.2115625,33.0299,38.0361,35.0307,33.905775,47.920481,132.92,78.8
test0001,2160,1600,1532.136,43,41.2763,46.2404,43.192,42.136275000000005,35.1038,39.5498,36.7587,35.866412499999996,59.858929,141.99,81.9
test0001,2160,2400,2405.61,39,42.3223,47.4313,44.2636,43.2035875,37.1568,41.1802,38.455,37.821999999999996,64.891031,171.24,86.11
test0001,2160,3400,3545.74,36,43.7563,48.5475,45.6374,44.590337500000004,38.6047,42.2225,39.7307,39.197675,72.494757,189.84,90.43
test0001,2160,4500,4584.962,34,44.6908,49.2603,46.5057,45.488850000000006,39.5286,42.8728,40.5179,40.0702875,76.819427,209.09,94.0
test0001,2160,5800,6008.552,32,45.6556,49.9994,47.3653,46.4122875,40.4677,43.5679,41.3308,40.9631125,80.788572,250.39,99.19
test0001,2160,8100,7974.76,30,46.6749,50.74,48.2081,47.3746875,41.4399,44.2585,42.1261,41.87800000000001,84.368486,246.12,93.14
test0001,2160,11600,12470.98,27,48.274,51.9402,49.5253,48.8886875,42.9238,45.449,43.4314,43.3029,88.833037,348.4,113.0
test0001,2160,16800,17282.088,25,49.4876,52.8121,50.5331,50.03385,44.0228,46.2909,44.3947,44.3528,91.461703,428.03,120.87
test0002,2160,145,773.474,50,24.4679,38.9299,40.0059,28.2179,27.3173,39.1547,39.8851,30.367949999999997,10.67655,93.59,68.26
test0002,2160,300,773.474,50,24.4679,38.9299,40.0059,28.2179,27.3173,39.1547,39.8851,30.367949999999997,10.67655,93.59,68.26
test0002,2160,600,773.474,50,24.4679,38.9299,40.0059,28.2179,27.3173,39.1547,39.8851,30.367949999999997,10.67655,93.59,68.26
test0002,2160,900,952.52,49,24.8934,39.3326,40.3905,28.6354375,27.7549,39.5071,40.2356,30.784012500000003,14.131214,91.4,68.14
test0002,2160,1600,1626.268,46,26.0979,40.6543,41.7301,29.871475,29.0435,40.6624,41.3728,32.037025,24.177256,101.71,67.34
test0002,2160,2400,2328.906,44,27.0437,41.4997,42.461,30.777862499999998,29.9918,41.3575,42.0178,32.91576250000001,31.699482,103.71,66.57
test0002,2160,3400,3435.072,40,27.8434,42.7612,43.52,31.6677,31.7061,43.0896,43.6844,34.626325,40.022164,118.05,71.31
test0002,2160,4500,4332.268,38,28.3039,43.7292,44.3182,32.23385,32.4626,44.2698,44.7235,35.471112500000004,44.073841,113.4,68.61
test0002,2160,5800,5870.848,36,29.4393,44.5522,45.1089,33.2871125,33.585,45.0548,45.4589,36.502962499999995,51.496948,121.96,69.93
test0002,2160,8100,7874.908,34,30.7184,45.2604,45.8128,34.42295,34.8177,45.7586,46.101,37.595725,58.821606,134.04,72.88
test0002,2160,11600,12430.228,31,33.1317,46.5244,47.0049,36.53993750000001,37.0276,46.9428,47.225,39.541675,69.888839,168.17,77.83
test0002,2160,16800,16575.288,29,34.7745,47.2603,47.6301,37.942175000000006,38.5197,47.6931,47.9063,40.8397,76.08697,179.76,81.6
test0003,2160,145,546.264,50,23.8886,37.7705,40.8964,27.7498125,27.8741,40.8595,42.6463,31.343799999999998,14.881414,90.79,77.26
test0003,2160,300,546.264,50,23.8886,37.7705,40.8964,27.7498125,27.8741,40.8595,42.6463,31.343799999999998,14.881414,90.79,77.26
test0003,2160,600,546.264,50,23.8886,37.7705,40.8964,27.7498125,27.8741,40.8595,42.6463,31.343799999999998,14.881414,90.79,77.26
test0003,2160,900,832.816,48,24.7597,38.7615,41.8095,28.641150000000003,28.7309,41.8598,43.1686,32.176725000000005,21.338214,89.02,78.79
test0003,2160,1600,1459.966,45,26.1113,40.2721,43.3297,30.0337,30.0652,43.2007,44.6952,33.5358875,30.780898,100.59,80.65
test0003,2160,2400,2505.796,42,27.5931,41.9884,44.9438,31.561350000000004,31.8143,44.8731,46.3489,35.263475,40.867552,108.87,82.91
test0003,2160,3400,3297.706,39,28.0305,42.3225,45.5051,32.001324999999994,32.7073,45.6771,47.3545,36.159425,44.235437,110.64,82.64
test0003,2160,4500,4407.478,37,29.036,43.3608,46.4969,33.0092125,33.7192,46.6787,48.3192,37.1641375,50.90361,125.03,83.27
test0003,2160,5800,5844.138,35,30.0903,44.3655,47.4334,34.042587499999996,34.7692,47.666,49.2471,38.1910375,57.379221,128.94,83.06
test0003,2160,8100,7702.476,33,31.1783,45.1057,48.0632,35.0298375,35.8444,48.3794,49.8904,39.167024999999995,63.43651,143.4,86.62
test0003,2160,11600,12118.646,30,33.1702,46.3961,49.08,36.8121625,37.7397,49.5946,50.9509,40.8729625,73.065167,174.96,89.81
test0003,2160,16800,16576.458,28,34.4966,47.3066,49.8323,38.0148125,39.0318,50.4524,51.7253,42.0460625,78.595224,194.39,95.67
test0004,2160,145,919.646,50,27.9426,36.2467,37.5669,30.18365,28.6031,35.3823,36.3902,30.4238875,32.98746,96.81,79.86
test0004,2160,300,919.646,50,27.9426,36.2467,37.5669,30.18365,28.6031,35.3823,36.3902,30.4238875,32.98746,96.81,79.86
test0004,2160,600,919.646,50,27.9426,36.2467,37.5669,30.18365,28.6031,35.3823,36.3902,30.4238875,32.98746,96.81,79.86
test0004,2160,900,919.646,50,27.9426,36.2467,37.5669,30.18365,28.6031,35.3823,36.3902,30.4238875,32.98746,96.81,79.86
test0004,2160,1600,1541.264,45,30.9409,38.5684,39.8223,33.0045125,31.5949,37.6401,38.6059,33.226925,48.529914,109.57,82.02
test0004,2160,2400,2324.488,42,32.8575,40.4439,41.7137,34.912825000000005,34.2728,39.8925,40.9209,35.806275,59.833505,121.11,84.35
test0004,2160,3400,3328.962,39,34.2716,41.1683,42.4436,36.1551875,36.2403,41.1351,42.1746,37.5939375,68.001132,132.66,86.89
test0004,2160,4500,4645.448,36,35.9703,42.6912,43.9165,37.803687499999995,37.8447,42.7158,43.7138,39.187225,76.812338,145.25,88.96
test0004,2160,5800,5812.19,34,37.077,43.6549,44.8536,38.8713125,38.8879,43.6655,44.6359,40.2036,82.318453,157.26,93.48
test0004,2160,8100,8344.056,31,38.8258,45.1618,46.2661,40.5478375,40.5079,45.1119,46.0071,41.770799999999994,90.449151,195.17,101.11
test0004,2160,11600,10952.976,29,40.077,46.2022,47.2314,41.73695,41.6715,46.1255,46.9696,42.8905125,95.571578,218.66,106.21
test0004,2160,16800,16656.05,26,41.9535,47.5799,48.5062,43.4758875,43.4269,47.5458,48.3006,44.55097500000001,99.812889,267.66,119.69
test0005,2160,145,593.996,50,28.2109,43.306,43.7652,32.042075,29.684,43.857,44.3089,33.2837375,37.258249,95.67,80.38
