video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0001,360,145,147.112,44.0,34.6927,41.4934,37.1728,35.8528,28.3598,34.6726,30.8112,29.455324999999995,16.189129,5.32,2.37
test0001,360,300,289.83,39.0,36.2219,43.0765,38.659,37.3833625,30.3727,36.5629,32.6921,31.436400000000003,17.588899,6.53,2.66
test0001,540,600,585.92,38.0,38.0107,44.4111,40.5754,39.1313375,32.4873,38.0357,34.7371,33.462075,30.530728,12.56,5.79
test0001,540,900,876.79,35.0,39.1671,45.3616,41.691,40.2569,33.739,39.0313,35.8977,34.67037499999999,38.042475,15.5,6.48
test0001,540,1600,1699.454,30.0,40.9012,46.8071,43.2603,41.934325,35.6865,40.536,37.574,36.528625000000005,49.187074,20.4,7.77
test0001,720,2400,2366.39,30.0,44.4042,48.4518,45.6104,45.060925,38.0649,41.6889,39.1873,38.6582,71.454432,30.85,13.09
test0001,720,3400,3577.256,27.0,46.0673,49.532,46.9245,46.60753750000001,39.6889,42.7221,40.4528,40.163537500000004,78.17144,38.55,14.86
test0001,1080,4500,4499.782,29.0,44.4008,49.4922,46.6602,45.319649999999996,39.4491,43.1782,40.8209,40.0867125,74.930631,69.04,29.98
test0001,1080,5800,5935.4,27.0,45.1463,50.1968,47.4363,46.0638625,40.2278,43.8563,41.5851,40.851025,78.268937,78.14,31.89
test0001,1440,8100,7486.95,27.0,46.1819,50.6132,48.0267,46.966412500000004,41.0352,44.178,42.0268,41.552,82.661221,126.17,51.92
test0001,2160,11600,12470.98,27.0,48.274,51.9402,49.5253,48.8886875,42.9238,45.449,43.4314,43.3029,88.833037,348.4,113.0
test0001,2160,16800,17282.088,25.0,49.4876,52.8121,50.5331,50.03385,44.0228,46.2909,44.3947,44.3528,91.461703,428.03,120.87
test0002,360,145,156.31,43.0,22.4576,36.7293,38.2792,26.2192625,25.3469,36.4483,37.1859,28.21445,0.0,5.67,1.99
test0002,360,300,312.356,38.0,22.9119,38.4928,40.0906,27.00685,26.1371,38.6441,39.519,29.3732125,0.0,6.56,2.07
test0002,540,600,643.956,38.0,23.9427,39.7059,41.0545,28.052075,27.2806,39.728,40.5649,30.497062500000002,1.405799,13.87,4.26
test0002,540,900,879.138,36.0,24.3713,40.4297,41.7362,28.5492125,27.7688,40.4993,41.348,31.0575125,3.64869,12.58,4.42
test0002,540,1600,1554.796,32.0,25.1952,41.8058,43.1559,29.5166125,28.6771,41.9944,42.8671,32.1155125,10.671509,14.39,5.04
test0002,720,2400,2476.25,32.0,30.1961,43.2488,43.9404,33.545725000000004,31.9824,42.4031,42.9673,34.6581,40.001054,21.65,8.71
test0002,720,3400,3344.882,30.0,31.5483,44.034,44.6656,34.748675,33.2621,43.2008,43.6988,35.809025,47.47001,26.92,9.94
test0002,1080,4500,4325.408,33.0,28.439,43.7741,44.5291,32.36715,32.335,44.4348,44.9555,35.4250375,42.147305,41.99,19.63
test0002,1080,5800,5782.576,31.0,29.4319,44.5258,45.2026,33.289975,33.3239,45.1909,45.627,36.3451625,48.97991,54.06,22.07
test0002,1440,8100,8534.328,30.0,31.2904,45.4486,46.0158,34.90085,35.191,45.9493,46.2976,37.9241125,61.446555,87.16,36.53
test0002,2160,11600,12430.228,31.0,33.1317,46.5244,47.0049,36.53993750000001,37.0276,46.9428,47.225,39.541675,69.888839,168.17,77.83
test0002,2160,16800,16575.288,29.0,34.7745,47.2603,47.6301,37.942175000000006,38.5197,47.6931,47.9063,40.8397,76.08697,179.76,81.6
test0003,360,145,139.026,42.0,21.5897,36.2219,39.4523,25.651550000000004,25.7018,38.987,40.3518,29.1937,0.0,5.76,2.29
test0003,360,300,295.17,37.0,21.9806,38.0722,41.6642,26.4525,26.2318,41.0692,42.8865,30.1683125,0.0,6.46,2.4
test0003,540,600,552.08,37.0,22.9377,39.1322,42.4827,27.4051375,27.275,42.1339,43.6926,31.184562499999995,1.223951,11.62,5.17
test0003,540,900,880.944,34.0,23.3298,40.1894,43.6387,27.975862499999998,27.7154,43.2563,44.9206,31.8086625,4.646359,13.48,5.26
test0003,540,1600,1622.968,30.0,23.7811,41.8979,45.3256,28.7387625,28.2295,44.9237,46.6184,32.6148875,10.46815,15.19,5.95
test0003,720,2400,2561.632,30.0,32.218,43.0829,46.0711,35.30775,33.3509,43.8613,45.7131,36.209975,49.390187,24.91,10.71
test0003,720,3400,3629.102,28.0,33.6132,44.1076,46.9717,36.594812499999996,34.698,44.8329,46.551,37.446487499999996,56.954796,27.95,12.45
test0003,1080,4500,4456.142,31.0,27.9531,43.6653,46.729,32.264112499999996,32.6392,47.2519,48.9123,36.499925000000005,46.031227,47.08,25.05
test0003,1080,5800,6074.9,29.0,28.6394,44.5695,47.5289,32.99185,33.3223,48.0894,49.689,37.214025,52.134146,52.6,26.79
test0003,1440,8100,8276.694,29.0,30.9727,45.318,48.1108,34.908125,35.49,48.524,49.9253,38.9236625,63.748151,84.04,44.18
test0003,2160,11600,12118.646,30.0,33.1702,46.3961,49.08,36.8121625,37.7397,49.5946,50.9509,40.8729625,73.065167,174.96,89.81
test0003,2160,16800,16576.458,28.0,34.4966,47.3066,49.8323,38.0148125,39.0318,50.4524,51.7253,42.0460625,78.595224,194.39,95.67
test0004,360,145,140.894,48.0,21.9862,32.069,33.6835,24.7087125,22.2057,30.055,31.4461,24.3419125,9.801859,6.5,2.43
test0004,360,300,312.628,42.0,25.0442,33.7941,35.2342,27.4116875,25.5498,31.7791,32.8685,27.243299999999998,17.549798,7.64,2.65
test0004,540,600,647.218,41.0,28.088,35.6627,36.9668,30.144687500000003,29.0649,34.0073,34.8909,30.41095,32.375027,13.7,6.13
test0004,540,900,929.032,38.0,29.4903,37.1736,38.569,31.585549999999998,30.8406,35.8403,36.7722,32.2070125,39.890516,15.43,6.42
test0004,540,1600,1645.356,33.0,32.2519,39.4808,40.8909,34.235387499999995,33.5389,38.3558,39.4399,34.8786375,54.534391,20.19,7.74
test0004,720,2400,2486.378,32.0,34.6241,41.6163,42.8775,36.529799999999994,35.8551,40.8615,41.8565,37.231075000000004,70.077385,31.42,12.69
test0004,720,3400,3215.008,30.0,36.0111,42.6272,43.8156,37.813675,37.166,41.9423,42.8895,38.478474999999996,76.759293,36.96,14.02
test0004,1080,4500,4409.836,31.0,36.5925,43.4307,44.6089,38.449325,38.2863,43.3079,44.2758,39.6626875,79.816288,63.17,28.76
test0004,1080,5800,5737.118,29.0,37.8211,44.4007,45.5277,39.606875,39.4293,44.2971,45.2266,40.7624375,85.711991,72.3,30.99
test0004,1440,8100,7847.75,28.0,39.085,45.4057,46.479,40.7993375,40.497,45.207,46.0919,41.785112500000004,91.421755,115.14,49.49
test0004,2160,11600,10952.976,29.0,40.077,46.2022,47.2314,41.73695,41.6715,46.1255,46.9696,42.8905125,95.571578,218.66,106.21
test0004,2160,16800,16656.05,26.0,41.9535,47.5799,48.5062,43.4758875,43.4269,47.5458,48.3006,44.55097500000001,99.812889,267.66,119.69
test0005,360,145,147.612,43.0,24.6962,41.3408,41.5033,28.8776625,26.3531,41.7408,42.0035,30.232862500000003,0.0,5.12,2.53
test0005,360,300,315.72,37.0,25.5733,43.4895,43.6739,30.0754,27.5145,44.2065,44.3805,31.709250000000004,0.707852,6.29,2.78
test0005,540,600,634.518,36.0,27.3375,44.8941,45.2486,31.7709625,29.4129,45.5694,45.9761,33.5028625,21.621995,12.37,6.11
test0005,540,900,903.154,33.0,27.7779,46.1428,46.4951,32.4131625,29.9173,46.8202,47.1185,34.1803125,26.931264,13.78,6.48
test0005,540,1600,1687.266,28.0,28.3282,48.1177,48.4035,33.3113,30.5517,48.6476,48.7932,35.093875000000004,34.930744,17.28,7.25
test0005,720,2400,2353.38,28.0,38.4665,49.3599,49.5625,41.215175,38.2427,48.3292,48.4437,40.778637499999995,79.497459,25.54,12.0
test0005,720,3400,3467.626,25.0,40.1758,50.5131,50.6166,42.7730625,39.8884,49.3437,49.3786,42.2565875,85.017587,31.97,14.95
